Yorum;Kategori
Orta kalitede fena deðil ama daha hýzlý olabilir;Yavaþ
Gereksiz güvenlik;Aþýrý Güvenlik
Banka çalýþanlarýnýz biraz daha iþini sahiplense biraz daha tebessüm olsa iyi olur.;Personel
Bölgemizdeki ATM’ sürekli iþlem dýþý mesajý alýyorum;Çalýþmýyor - Hata Veriyor
Sadece þubenin yanýnda olmasý nedeniyle yani benim hiç faydalanmadiðim ATM doðrusu diðer banka ATM'leri gibi sizinde þehir içi ATM'LERÝ Çoðalmaniz gerekir. Çalismalariniz da baþarýlar diliyorum.;ATM Sayýsý Yetersiz
Sizin atm'lerinizden diyerekten o puaný verdim Normalde PTT'den aldýðýmýz alamadýðýmýz daha çok olan zor durumda kaldýðýmýz için daha fazlasýný veremiyorum ve en yakýn zamanda baþka bankaya taþýyacaðým Kolay gelsin hayýrlý günler;ATM Sayýsý Yetersiz
Ortak atm'lerden limit çekimi çok düþük atm'leriniz de çok yaygýn deðil uzak olduðu için gidemiyoruz o yüzden nakit çekim limiti yükselsin;Para Çekme Limiti Yetersiz
Bulunduðum yerde Albaraka ATM si yoktu ziraatten 23 TL kesintiyle çektiðim için;ATM Sayýsý Yetersiz
SMS kontrolü biraz fazla oyalayýcý ve QR cod iyi çalýþmamalta;Aþýrý Güvenlik
Maltepede bir tane atm var;ATM Sayýsý Yetersiz
Çok az sayýda atm var;ATM Sayýsý Yetersiz
Fazla atm yok baþka bankalardan baracekiyom;ATM Sayýsý Yetersiz
Heryerde bulamýyorum;ATM Sayýsý Yetersiz
ATM niz yok;ATM Sayýsý Yetersiz
ATM aðýnýz az ve ptt ortaklýðýnýzdan para aldýnýz ücretsiz demiþtiniz;Ücret Alýnmasý
Albaraka Atm leri yaygýnlaþtýrýlmalý.;ATM Sayýsý Yetersiz
Bir sýkýntý yaþamadým þuana kadar ATM sorunu var sadece;ATM Sayýsý Yetersiz
Herhangi bir nedeni yok limit çok az;Para Çekme Limiti Yetersiz
"Atmleleriniz yenilenmesi gerekir
Günlük limit çok az buluyorum";Para Çekme Limiti Yetersiz
Görev yaptýðým yerde ateme ve þubeniz yok;ATM Sayýsý Yetersiz
Detaylari hepsýni sünmuyor;Fonksiyon Eksikliði
Emekli maasimi yapi kredi atm lerinden cekebilecegim soylendi ama ucret kesildi;Ücret Alýnmasý
ATM seçeneði bin daha fazla olmasýný diliyorum;ATM Sayýsý Yetersiz
Kredi kartý bile veremiyorsunuz baþvuru yapamýyoruz ve bir limit bile belirleyemiyorsunuz;Kredi Kartý
Hic bir yerde matik yok msimizi nerden alacagimuzi bilmiyoruz baska bankaya aktarma yapiyoruz;ATM Sayýsý Yetersiz
Atm ye ulaþmak için park sorunu olan þehir merkezlerine türlü zahmetlerle ulaþtýktan sonra seçenek olmayan birçok ilçeyi geçtim il baþýna 1 tane olan atm den iþlem yapmak yerine þahsen atm lazým olduðunda en basit iþlem parayý yatýrmak için parayý baþkasýna verip eft yaptýrmaktan gerçekten çok keyif alýyorum. Atm den baþka hangi iþlemi yapýyorsunuz inanýn hiç bir fikrim yok çünkü kendileriyle pek karþýlaþmadýk;ATM Sayýsý Yetersiz
Ticari bir iþletmeyim 10 tane fatura talimatý bes ve post çekim komisyonum bankanýzda olmasýna raðmen düþük bir kredi kartý limiti veriyorsunuz ticari müþterisi olmadýðým bankadan  daha fazla yararlanabiliyorum bankanýzla çalýþmayý sonlandýrmayý düþünüyorum.;Kredi Kartý
Internet bankacýlara bir saate zor giremedik;Ýnternet Bankacýlýðý
Her yerde atm bulunmuyor.;ATM Sayýsý Yetersiz
Rezalet her defasýnda bi sorun yaþýyorum 2. Sefer ya da 3. Seferde iþlem yapabiliyorum;Çalýþmýyor - Hata Veriyor
1 tane atm var yalovada bazen ya bozuk oluyo ya arizali;ATM Sayýsý Yetersiz
Banka hesabýma yatýrým için altýn olarak alýp altýn olarak çekebileceðim söylenmesine raðmen aradan bir kaç yýl geçtikten sonra yanlýþ anlaþýlma olmuþ altýn olarak çekemez Türk lirasý olarak çekebilirsiniz denildi.Bu nedenden dolayý uygulamanýzý etik bulmuyorum.Diðer bir konu olarak Ankara/Mama Yeþilbayýr mahallesinde þube ve bankamatiðiniz bulunmadýðýndan PTT atmlerinden para çekebileceðim söylenildi ancak bir ay içinde yalnýzca üç bin Türk lirasý çekim yapýlabiliyor.Bu yüzden kurban bayramýnda zor durumda býrakýldým.;Altýn Hesabý
Barkodu bazen okumuyor. Para çekmek çok zorlaþtýrýlmýþ bir sürü iþlem yapmak gerekiyor güvenlik gereðinden fazla;QR Kod
Dokunmatik olabilir;Fonksiyon Eksikliði
Bulunduðumuz yerde ATMniz yok. PTTnin ATM’lerini kullanýyoruz. Orada da istediðim limiti çekemiyorum bazen de hata verebiliyor.;ATM Sayýsý Yetersiz
Atm sayýsý bulunduðum bölgede çok az.;ATM Sayýsý Yetersiz
Mobil zirt pirt yanlýþ þifre diyor blok ediyor;Mobil Bankacýlýk
ATM çok yavaþ;Yavaþ
Merkez nüfusu 550 bin olan bir þehirde sadece 1 tane atm niz var;ATM Sayýsý Yetersiz
Bankamatik yok. Koskoca Bursa'da 3-5 tane bankamatik var..;ATM Sayýsý Yetersiz
Kullanmadým;Kullanmýyor veya henüz yeni kullanmaya baþladý
Atm sayýlarýnýz yok denecek kadar az. Üstelik çoðu zaman ne para alýyor ne de veriyor. Hiçbir sorun olmamasýna raðmen baþka yere yönlendiriyor. Þehrin bir ucundan diðer ucuna;ATM Sayýsý Yetersiz
Cok az atm var;ATM Sayýsý Yetersiz
Bu konuda müþteri hizmetlerini arayýp rahatsýz olduðum konuyu belirtmiþtim. Nüfusu kalabalýk bir þehirde oturuyoruz ve tek ATM var. Bu ATM tek yön gidiþi olan bir caddede ve zaman zaman (sýklýkla) arýzalý oluyor veya çeþitli sebeplerden para çekme iþlemi yapamýyoruz. Farklý kurumlardan (PTT ve Yapý Kredi) para çekme iþlemi oluyor. Ancak belirli miktar üzerinde çektiðimizde para ödemek zorunda kalýyoruz. Bu yüzden hizmetinizden memnun deðilim.;ATM Sayýsý Yetersiz
ATM giriþi SMS ile olmasý;Aþýrý Güvenlik
ATM bulmakta zorluk çekiyorum  atm çoðaltmasýný tavsiye ederim...;ATM Sayýsý Yetersiz
Albaraka ATM si her yerde olmadýðý için iþlemlerimizi kolayca yapamýyoruz;ATM Sayýsý Yetersiz
"Ne zaman atm de iþlem yapmaya gitsem.   Ýstanbul çaðlayan þubenizin atm cihazýnda hep bi problem. Barkod sistemi arýzalý.  Para çekim yatýrým iþlemi yapamýyoruz

 Þube yöneticileri bu konuda habersiz olamazlar. Diye düþünüyorum 

Müþteri olarak her zaman maðdur oluyoruz 

Biraz daha böyle devam ederse. Çalýþmayý da keseceðim artýk";Çalýþmýyor - Hata Veriyor
DÜZCE 1 ATM var;ATM Sayýsý Yetersiz
Yok ki;ATM Sayýsý Yetersiz
Hiçbiryerde ATM  yok bankanýza ait bankanýzda yok;ATM Sayýsý Yetersiz
Ne zaman ATM ye gitsem devre dýþý. Böyle bir hizmet olamaz. Memnun deðilim;Çalýþmýyor - Hata Veriyor
Hiç memnun deðilim ben sizden biraz daha iyi olursanýz iyi olur . teþekkür ederim;Genel Memnuniyetsizlik
Hiç bir semtte ATM biz yok sürekli para çekerken fark ödüyoruz;ATM Sayýsý Yetersiz
ATM yok;ATM Sayýsý Yetersiz
Biz Türkiye'de yaþýyoruz Siz Arapça levhalarla birlikte belirtiyorsunuz orayý;Neden Arapça Levha Var
ATM si her yerde yok;ATM Sayýsý Yetersiz
ATM çok bozuluyor;Çalýþmýyor - Hata Veriyor
Albaraka atmsi yok izmitte iki sube bulunduracaginiza birini korfeze tasiyin derince korfez yarimca izmite gitmek zorunda kaliyor;ATM Sayýsý Yetersiz
Bankamatik yetersiz;ATM Sayýsý Yetersiz
Yeterli atm þubleriniz yok;ATM Sayýsý Yetersiz
Faha çok plabilir a t m  sayýsý;Para Çekme Limiti Yetersiz
Kuar ile paramý çekemiyorum algýlamýyor;QR Kod
Bankamatik çok uðraþtýrýyor her insan o iþlemi yapamaz görevli olmasaydý paramý çekemiyecektim;Çalýþmýyor - Hata Veriyor
Özellikle batman merkezdeki özel Batman hastanesi karþýsýndaki ATM ye her 10 gidiþimin 7 sinde hizmet alamadan döndüm. Baþka bankalarla da PTT ile yapýlan anlaþma gibi anlaþmalar yapmanýzý tavsiye ederim, ATM aðý en yoðun olanlarla. Teknolojik geliþmelerin gerisinden geliyorsunuz yýllardýr. Diðer banka ATM lerinin teknolojilerini sunmamanýzda gerekçenizi ayrýca merak ediyorum, ki müþteri memnuniyeti saðlanmasý kaliteyi artýracaðýný düþünüyorum. Ama her þeye raðmen sizi seviyorum ??;ATM Sayýsý Yetersiz
Afyonda  ikamet ediyorum bankanýn önünde tek ATM var benim bildiðim afyonda baþka ATM yok arýza verince sýkýntý yaþanýyor;ATM Sayýsý Yetersiz
"Çok küçük rakamlar çekmek istesek bile güvenlik önlemi açýsýndan fazlaca sorulara muhatap olup, fazlaca vakit kaybediyoruz
Ayrýca ATM’lerin daha yaygýn olmasýný istiyoruz";Aþýrý Güvenlik
Menu çok yavaþ kuveytturk bankamatiðe Bi para yatýrýn farký kendiniz görün bu bankamatigi alan yetkilinin savunmasýný alirsiniz:));Yavaþ
Bankamatikden döviz yatýrabiliyorsunuz fakat çekemiyorsunuz;Doviz Çekememek
Defalarca günlük para çekme limitinin artýrýlmasý için dilekçe yazdým ama olmadý bu nedenle banka mý deðiþtirmek zorunda kalabilirim;Para Çekme Limiti Yetersiz
Atm atm deðiþen para iadeleri. Bir atm eksiksiz alýrken diðeri sürekli sorun çýkarýyor geçersiz tanýmsýz para diye.;Para Yatýrma Problemi
Nakit  cekme limiti 3000tl;Para Çekme Limiti Yetersiz
